Name,Type,Page,Page Number,Schematic,PartPin,LocationX,LocationY,Zone,IREF
"CAN1_STBY","OffPage","2-SOC-BANKS","2","SCHEMATIC1","U13C.E3","2150","160","2D","Property Not Present"
"CAN2_STBY","OffPage","2-SOC-BANKS","2","SCHEMATIC1","U13B.A17","930","170","4D","Property Not Present"
"CP2108_4_RXD","OffPage","2-SOC-BANKS","2","SCHEMATIC1","U13B.B21","1460","390","3D","Property Not Present"
"CP2108_4_TXD","OffPage","2-SOC-BANKS","2","SCHEMATIC1","U13B.D21","1460","360","3D","Property Not Present"
"LPDDR4_DQS2_P","OffPage","4-LPDDR4","4","SCHEMATIC1","U20A.W3","490","450","3B","2"
"LPDDR4_DQS2_P","OffPage","2-SOC-BANKS","2","SCHEMATIC1","U13G.AA11","1860","1580","3B","4"
"RPI_ID_SC","OffPage","2-SOC-BANKS","2","SCHEMATIC1","U13B.F10","1460","50","3D","Property Not Present"
"RPI_ID_SD","OffPage","2-SOC-BANKS","2","SCHEMATIC1","U13B.B9","930","620","4C","Property Not Present"
"VSC_PLLMODE","OffPage","6-MAC+PHY","6","SCHEMATIC1","R191.1","970","430","3C","2"
"VSC_PLLMODE","OffPage","2-SOC-BANKS","2","SCHEMATIC1","U13B.D12","1460","150","3D","6"
"VSC_MDINT0","OffPage","6-MAC+PHY","6","SCHEMATIC1","R168.1,R173.2,U25A.M2","1130","180","3D","2"
"VSC_MDINT0","OffPage","2-SOC-BANKS","2","SCHEMATIC1","U13B.E16","930","90","4D","6"
"VSC_CMODE0","OffPage","6-MAC+PHY","6","SCHEMATIC1","R187.2,R194.1,U25A.G13","750","610","4C","2"
"VSC_CMODE0","OffPage","2-SOC-BANKS","2","SCHEMATIC1","U13B.C16","930","150","4D","6"
"VSC_CLKOUT","OffPage","6-MAC+PHY","6","SCHEMATIC1","R166.1","820","130","4D","2"
"VSC_CLKOUT","OffPage","2-SOC-BANKS","2","SCHEMATIC1","U13B.A13","1460","300","3D","6"
"RPI_GPIO3_SCL","OffPage","2-SOC-BANKS","2","SCHEMATIC1","U13B.B8","930","500","4D","Property Not Present"
"VSC_CMODE1","OffPage","6-MAC+PHY","6","SCHEMATIC1","R188.2,R195.1,U25A.G14","750","620","4C","2"
"VSC_CMODE1","OffPage","2-SOC-BANKS","2","SCHEMATIC1","U13B.C17","930","230","4D","6"
"VSC_CMODE2","OffPage","6-MAC+PHY","6","SCHEMATIC1","R189.2,R196.1,U25A.F14","750","630","4C","2"
"VSC_CMODE2","OffPage","2-SOC-BANKS","2","SCHEMATIC1","U13B.B19","1460","260","3D","6"
"VSC_CMODE3","OffPage","6-MAC+PHY","6","SCHEMATIC1","R190.2,R197.1,U25A.F15","750","640","4C","2"
"VSC_CMODE3","OffPage","2-SOC-BANKS","2","SCHEMATIC1","U13B.D18","930","330","4D","6"
"VSC_OSCEN","OffPage","6-MAC+PHY","6","SCHEMATIC1","R186.1","970","400","3C","2"
"VSC_OSCEN","OffPage","2-SOC-BANKS","2","SCHEMATIC1","U13B.E18","930","320","4D","6"
"VSC_CMODE4","OffPage","6-MAC+PHY","6","SCHEMATIC1","R162.2,R179.1,U25A.E14","750","650","4C","2"
"VSC_CMODE4","OffPage","2-SOC-BANKS","2","SCHEMATIC1","U13B.A18","930","660","4C","6"
"SDIO_SW_EN#","OffPage","5-EMMC_SDIO","5","SCHEMATIC1","R153.2,U22.17,U23.17","790","460","4C","2"
"SDIO_SW_EN#","OffPage","2-SOC-BANKS","2","SCHEMATIC1","U13B.B7","930","440","4D","5"
"VSC_CMODE5","OffPage","6-MAC+PHY","6","SCHEMATIC1","R163.2,R170.1,U25A.D14","750","660","4C","2"
"VSC_CMODE5","OffPage","2-SOC-BANKS","2","SCHEMATIC1","U13B.B18","930","650","4C","6"
"SDIO_SW_SEL0","OffPage","5-EMMC_SDIO","5","SCHEMATIC1","R155.2,U22.21,U23.21","790","440","4C","2"
"SDIO_SW_SEL0","OffPage","2-SOC-BANKS","2","SCHEMATIC1","U13B.D7","930","270","4D","5"
"SDIO_SW_SEL1","OffPage","5-EMMC_SDIO","5","SCHEMATIC1","R154.2,U22.11,U23.11","790","450","4C","2"
"SDIO_SW_SEL1","OffPage","2-SOC-BANKS","2","SCHEMATIC1","U13B.C7","930","380","4D","5"
"VSC_CMODE6","OffPage","6-MAC+PHY","6","SCHEMATIC1","R164.2,R180.1,U25A.E15","750","670","4C","2"
"VSC_CMODE6","OffPage","2-SOC-BANKS","2","SCHEMATIC1","U13B.A12","1460","290","3D","6"
"VSC_CMODE7","OffPage","6-MAC+PHY","6","SCHEMATIC1","R171.1,R175.2,U25A.E16","750","680","4C","2"
"VSC_CMODE7","OffPage","2-SOC-BANKS","2","SCHEMATIC1","U13B.B12","930","60","4D","6"
"PCIE_TX0_P","OffPage","2-SOC-BANKS","2","SCHEMATIC1","C124.2","140","590","5C","Property Not Present"
"PCIE_TX0_N","OffPage","2-SOC-BANKS","2","SCHEMATIC1","C123.2","140","580","5C","Property Not Present"
"PCIE_RX0_P","OffPage","2-SOC-BANKS","2","SCHEMATIC1","U13I.G20","610","590","5C","Property Not Present"
"PCIE_RX0_N","OffPage","2-SOC-BANKS","2","SCHEMATIC1","U13I.G19","610","580","5C","Property Not Present"
"PCIE_RX1_P","OffPage","2-SOC-BANKS","2","SCHEMATIC1","U13I.K22","610","620","5C","Property Not Present"
"PCIE_RX1_N","OffPage","2-SOC-BANKS","2","SCHEMATIC1","U13I.K21","610","610","5C","Property Not Present"
"PCIE_RX2_P","OffPage","2-SOC-BANKS","2","SCHEMATIC1","U13I.M22","610","650","5C","Property Not Present"
"PCIE_RX2_N","OffPage","2-SOC-BANKS","2","SCHEMATIC1","U13I.M21","610","640","5C","Property Not Present"
"PCIE_RX3_P","OffPage","2-SOC-BANKS","2","SCHEMATIC1","U13I.R20","610","680","5C","Property Not Present"
"PCIE_RX3_N","OffPage","2-SOC-BANKS","2","SCHEMATIC1","U13I.R19","610","670","5C","Property Not Present"
"PCIE_TX1_P","OffPage","2-SOC-BANKS","2","SCHEMATIC1","C126.2","140","620","5C","Property Not Present"
"PCIE_TX1_N","OffPage","2-SOC-BANKS","2","SCHEMATIC1","C125.2","140","610","5C","Property Not Present"
"PCIE_TX2_P","OffPage","2-SOC-BANKS","2","SCHEMATIC1","C128.2","140","650","5C","Property Not Present"
"PCIE_TX2_N","OffPage","2-SOC-BANKS","2","SCHEMATIC1","C127.2","140","640","5C","Property Not Present"
"PCIE_TX3_P","OffPage","2-SOC-BANKS","2","SCHEMATIC1","C129.2","140","670","5C","Property Not Present"
"PCIE_TX3_N","OffPage","2-SOC-BANKS","2","SCHEMATIC1","C130.2","140","680","5C","Property Not Present"
"LED3","OffPage","2-SOC-BANKS","2","SCHEMATIC1","U13A.T12,U19.11","2820","2110","1A","2"
"LED3","OffPage","2-SOC-BANKS","2","SCHEMATIC1","U13A.T12,U19.11","70","410","5D","2"
"LED2","OffPage","2-SOC-BANKS","2","SCHEMATIC1","U13A.U13,U19.13","70","380","5D","2"
"LED2","OffPage","2-SOC-BANKS","2","SCHEMATIC1","U13A.U13,U19.13","2820","2090","1A","2"
"SWITCH3","OffPage","2-SOC-BANKS","2","SCHEMATIC1","R118.1,U13A.W19","680","420","4D","2"
"SWITCH3","OffPage","2-SOC-BANKS","2","SCHEMATIC1","R118.1,U13A.W19","3200","1480","1B","2"
"LED4","OffPage","2-SOC-BANKS","2","SCHEMATIC1","U13A.AB19,U19.9","680","150","4D","2"
"LED4","OffPage","2-SOC-BANKS","2","SCHEMATIC1","U13A.AB19,U19.9","2820","2130","1A","2"
"MBUS_SPI_MOSI","OffPage","2-SOC-BANKS","2","SCHEMATIC1","U13C.B2","2150","120","2D","Property Not Present"
"SWITCH4","OffPage","2-SOC-BANKS","2","SCHEMATIC1","R120.1,U13A.W18","3140","1600","1B","2"
"SWITCH4","OffPage","2-SOC-BANKS","2","SCHEMATIC1","R120.1,U13A.W18","680","410","4D","2"
"LED1","OffPage","2-SOC-BANKS","2","SCHEMATIC1","U13A.V14,U19.15","70","300","5D","2"
"LED1","OffPage","2-SOC-BANKS","2","SCHEMATIC1","U13A.V14,U19.15","2820","2070","1A","2"
"MBUS_AN","OffPage","2-SOC-BANKS","2","SCHEMATIC1","U13B.D11","930","590","4C","Property Not Present"
"VSC_GPIO0_SIGDET0","OffPage","6-MAC+PHY","6","SCHEMATIC1","U25A.N14","370","260","5D","2"
"VSC_GPIO0_SIGDET0","OffPage","2-SOC-BANKS","2","SCHEMATIC1","U13B.A10","930","570","4C","6"
"MBUS_SPI_MISO","OffPage","2-SOC-BANKS","2","SCHEMATIC1","U13C.A2","2150","130","2D","Property Not Present"
"VSC_RXD0_N","OffPage","6-MAC+PHY","6","SCHEMATIC1","C467.1","1600","950","2B","2"
"VSC_RXD0_N","OffPage","2-SOC-BANKS","2","SCHEMATIC1","U13F.L6","630","2170","4A","6"
"MBUS_RST","OffPage","2-SOC-BANKS","2","SCHEMATIC1","U13B.E10","1460","60","3D","Property Not Present"
"MBUS_UART_RXD","OffPage","2-SOC-BANKS","2","SCHEMATIC1","U13B.A21","1460","320","3D","Property Not Present"
"VSC_GPIO1_SIGDET1","OffPage","6-MAC+PHY","6","SCHEMATIC1","U25A.M14","370","280","5D","2"
"VSC_GPIO1_SIGDET1","OffPage","2-SOC-BANKS","2","SCHEMATIC1","U13B.A11","930","560","4C","6"
"MBUS_SPI_CS#","OffPage","2-SOC-BANKS","2","SCHEMATIC1","U13C.E4","2150","110","2D","Property Not Present"
"MBUS_INT","OffPage","2-SOC-BANKS","2","SCHEMATIC1","U13B.A20","1460","330","3D","Property Not Present"
"MBUS_PWM","OffPage","2-SOC-BANKS","2","SCHEMATIC1","U13B.E11","1460","140","3D","Property Not Present"
"VSC_RXD0_P","OffPage","6-MAC+PHY","6","SCHEMATIC1","C466.1","1600","930","2B","2"
"VSC_RXD0_P","OffPage","2-SOC-BANKS","2","SCHEMATIC1","U13F.L5","630","2180","4A","6"
"MBUS_I2CSCL","OffPage","2-SOC-BANKS","2","SCHEMATIC1","U13B.F12","1460","90","3D","Property Not Present"
"MBUS_I2CSDA","OffPage","2-SOC-BANKS","2","SCHEMATIC1","U13B.F13","1460","170","3D","Property Not Present"
"LPDDR4_CK_C_A","OffPage","4-LPDDR4","4","SCHEMATIC1","U20A.J9,U20A.P9","180","200","5C","2"
"LPDDR4_CK_C_A","OffPage","2-SOC-BANKS","2","SCHEMATIC1","U13G.U4","2260","1580","2B","4"
"VSC_TXD0_N","OffPage","6-MAC+PHY","6","SCHEMATIC1","U25C.N16","1600","830","2B","2"
"VSC_TXD0_N","OffPage","2-SOC-BANKS","2","SCHEMATIC1","C151.1","750","2140","4A","6"
"MBUS_UART_TXD","OffPage","2-SOC-BANKS","2","SCHEMATIC1","U13B.B20","1460","270","3D","Property Not Present"
"LPDDR4_CK_T_A","OffPage","4-LPDDR4","4","SCHEMATIC1","U20A.J8,U20A.P8","180","190","5D","2"
"LPDDR4_CK_T_A","OffPage","2-SOC-BANKS","2","SCHEMATIC1","U13G.U5","2260","1570","2B","4"
"MBUS_SPI_CLK","OffPage","2-SOC-BANKS","2","SCHEMATIC1","U13C.E5","2150","100","2D","Property Not Present"
"VSC_TXD0_P","OffPage","6-MAC+PHY","6","SCHEMATIC1","U25C.N15","1600","810","2B","2"
"VSC_TXD0_P","OffPage","2-SOC-BANKS","2","SCHEMATIC1","C154.1","750","2150","4A","6"
"VSC_SRESET#","OffPage","6-MAC+PHY","6","SCHEMATIC1","R185.1","970","360","3D","2"
"VSC_SRESET#","OffPage","2-SOC-BANKS","2","SCHEMATIC1","U13B.D16","930","80","4D","6"
"VSC_GPIO9_FASTLINKFAIL","OffPage","6-MAC+PHY","6","SCHEMATIC1","U25A.K14","330","440","5C","2"
"VSC_GPIO9_FASTLINKFAIL","OffPage","2-SOC-BANKS","2","SCHEMATIC1","U13B.C11","930","600","4C","6"
